smiles,Clostridium sporogenes ATCC15579
COc1ccc2c(c1)c(CC(=O)[O-])c(C)n2C(=O)c1ccc(Cl)cc1,0
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0
Nc1nc(N)nc(-c2cc(Cl)ccc2Cl)n1,0
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)[C-]1c1cccc2nonc12,0
CCC(C)n1ncn(-c2ccc(N3CCN(c4ccc(OCC5COC(Cn6cncn6)(c6ccc(Cl)cc6Cl)O5)cc4)CC3)cc2)c1=O,1
O=C(c1ccccc1)c1ccc2n1CCC2C(=O)[O-],0
CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,0
CC(CCc1ccccc1)[NH2+]CC(O)c1ccc(O)c(C(N)=O)c1,0
Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,0
N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,0
c1ccc(C2CN3CCSC3=N2)cc1,1
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21CC,0
CC#CCn1c(N2CCCC([NH3+])C2)nc2c1c(=O)n(Cc1nc(C)c3ccccc3n1)c(=O)n2C,0
CC(Oc1c(Cl)cccc1Cl)C1=[NH+]CCN1,0
CN(C)C(=O)C(CC[NH+]1CCC(O)(c2ccc(Cl)cc2)CC1)(c1ccccc1)c1ccccc1,0
CCCCc1nc(Cl)c(CO)n1Cc1ccc(-c2ccccc2-c2nnn[n-]2)cc1,0
CCC(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0
C[NH+]1CCN(C2=[NH+]c3ccccc3Oc3ccc(Cl)cc32)CC1,0
COC(=O)Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1,0
C[NH+]1CCc2c(c3ccccc3n2Cc2ccccc2)C1,0
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCC[NH2+]1,0
CC(=O)OC1(C(C)=O)CCC2C3C=C(C)C4=CC(=O)CCC4(C)C3CCC21C,0
[NH3+]C(Cc1ccc([NH+](CCCl)CCCl)cc1)C(=O)[O-],1
CC12CC3CC(C)(C1)CC([NH3+])(C3)C2,0
Cc1cc(C)cc(OCC2CNC(=O)O2)c1,0
COc1ccccc1OCC(O)COC(N)=O,0
COc1c2occc2cc2ccc(=O)oc12,1
CN1C(=O)CC(C)(c2ccccc2)C1=O,0
COC(=O)C(c1ccccc1)C1CCCC[NH2+]1,0
CCC(CO)NC(=O)C1C=C2c3cccc4c3c(cn4C)CC2[NH+](C)C1,0
Cc1cc2c(cc1S(N)(=O)=O)S(=O)(=O)CCC2,0
CSc1ccc2c(c1)C(N1CC[NH+](C)CC1)Cc1ccccc1S2,0
CC[NH+](CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,0
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,0
COCCc1ccc(OCC(O)C[NH2+]C(C)C)cc1,0
CCC(C)C(=O)OC1CCC=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,0
CN1CCN2c3ccccc3Cc3ccccc3C2C1,0
CC#CC1(O)CCC2C3CCC4=CC(=O)CCC4=C3C(c3ccc(N(C)C)cc3)CC21C,0
CCN(CC)C(=O)C1(c2ccccc2)CC1C[NH3+],0
COc1c(C)c2c(c(O)c1CC=C(C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,0
CC(C)(C)[NH2+]CC(O)COc1cccc2c1CC(O)C(O)C2,0
CC[NH+](CC)CCOC(=O)C(Cc1cccc2ccccc12)CC1CCCO1,0
COc1ccccc1N1CCN(CC(O)COc2cccc3ccccc23)CC1,0
C=CCN1CCC23c4c5ccc(O)c4OC2C(=O)CCC3(O)C1C5,0
COc1ccc2cc(C(C)C(=O)[O-])ccc2c1,0
CC(C)C1CCC(C(=O)NC(Cc2ccccc2)C(=O)[O-])CC1,0
CCc1nn(CCC[NH+]2CCN(c3cccc(Cl)c3)CC2)c(=O)n1CCOc1ccccc1,0
C[NH+]1CCOC(c2ccccc2)c2ccccc2C1,0
CN(C)C(=O)Oc1cccc([N+](C)(C)C)c1,0
Cc1ccnc2c1[N-]C(=O)c1cccnc1N2C1CC1,0
COC12CC(COC(=O)c3cncc(Br)c3)C[NH+](C)C1Cc1cn(C)c3cccc2c13,0
CCOC(=O)C1=C(C)NC(C)=C(C(=O)OC)[C-]1c1cccc([N+](=O)[O-])c1,1
CNC(=C[N+](=O)[O-])NCCSCc1csc(C[NH+](C)C)n1,0
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0
C#CC1(OC(C)=O)CCC2C3CCC4=CC(=NO)CCC4C3CCC21CC,0
COc1ccc2c(c1OC)C(=O)OC2C1c2c(cc3c(c2OC)OCO3)CCN1C,0
Cc1cc2c(s1)Nc1ccccc1N=C2N1CC[NH+](C)CC1,0
CCCc1nc(C(C)(C)O)c(C(=O)OCc2oc(=O)oc2C)n1Cc1ccc(-c2ccccc2-c2nn[n-]n2)cc1,0
COc1ccc2nc(S(=O)Cc3ncc(C)c(OC)c3C)[nH]c2c1,1
Cc1ccccc1C(OCC[NH+](C)C)c1ccccc1,0
O=C([O-])CCc1nc(-c2ccccc2)c(-c2ccccc2)o1,0
NC(=O)N1c2ccccc2CC(=O)c2ccccc21,0
CN(C(=O)CN(CCO)CC(=O)N(C)C(C)(C)Cc1ccccc1)C(C)(C)Cc1ccccc1,0
CC[NH+](CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,0
CC(=O)OC1C(=O)C2(C)C(O)CC3OCC3(OC(C)=O)C2C(OC(=O)c2ccccc2)C2(O)CC(OC(=O)C(O)C(NC(=O)c3ccccc3)c3ccccc3)C(C)=C1C2(C)C,0
Cc1nc2n(c(=O)c1CC[NH+]1CCC(c3noc4cc(F)ccc34)CC1)CCCC2O,1
COc1ccnc(CS(=O)c2nc3cc(OC(F)F)ccc3[nH]2)c1OC,1
COc1ccc(Cc2nccc3cc(OC)c(OC)cc23)cc1OC,0
Fc1ccc(C2CC[NH2+]CC2COc2ccc3c(c2)OCO3)cc1,0
CC(C)(C)[NH2+]CC(O)COc1ccccc1C1CCCC1,0
CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0
CCC[NH+]1CC(CSC)CC2c3cccc4[nH]cc(c34)CC21,0
N#Cc1ccc2c(c1)N(CCC[NH+]1CCC(O)CC1)c1ccccc1S2,0
CCCC(NC(C)C(=O)N1C(C(=O)[O-])CC2CCCCC21)C(=O)OCC,0
CCOc1ccc(NC(C)=O)cc1,0
Nc1ccc(N=Nc2ccccc2)c(N)n1,1
O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)N1,0
O=C1CCC(C(=O)N2CSCC2C(=O)[O-])N1,0
O=c1[nH]c2ccccc2n1C1CC[NH+](CCCC(c2ccc(F)cc2)c2ccc(F)cc2)CC1,0
O=C([O-])CC(O)CC(O)C=Cc1c(C2CC2)nc2ccccc2c1-c1ccc(F)cc1,0
CC(C(=O)[O-])c1ccc2c(c1)Cc1cccnc1O2,0
COc1cc2nc(N3CCN(C(=O)c4ccco4)CC3)nc(N)c2cc1OC,0
CC12C=CC(=O)C=C1CCC1C2C(=O)CC2(C)C1CCC2(O)C(=O)CO,0
OC(CC[NH+]1CCCCC1)(c1ccccc1)c1ccccc1,0
